title,link,summary,published
"Disparu dans une crevasse, les restes d’un randonneur identifiés 60 ans après",https://vsd.fr/74656-disparu-dans-une-crevasse-les-restes-dun-randonneur-identifies-60-ans-apres/,Un bergère a un aperçu des osements – une jambe et un pied –  à 2 459 mètres d'altitude. L'homme avait disparu en 1967.,"Fri, 10 Jan 2025 13:39:00 +0000"
La sortie d'«Assassin’s Creed Shadows» reportée au 20 mars,https://vsd.fr/74650-la-sortie-dassassins-creed-shadows-reportee-au-20-mars/,L'éditeur français a décidé d'accorder un mois supplémentaire au développement de son jeu vidéo. Il était attendu le 12 novembre puis repoussé au 14 février.,"Fri, 10 Jan 2025 11:15:00 +0000"
"L’influenceur Doualemn expulsé vers l’Algérie, renvoyé immédiatement en France",https://vsd.fr/74644-linfluenceur-doualemn-expulse-vers-lalgerie-renvoye-immediatement-en-france/,L’homme de 59 ans était de retour dans la soirée à Roissy ; il a été placé dans le centre de rétention administrative (CRA) du Mesnil-Amelot (Seine-et-Marne).,"Fri, 10 Jan 2025 08:51:00 +0000"
Violences conjugales: 18 mois de prison avec sursis requis contre Stéphane Plaza,https://vsd.fr/74660-violences-conjugales-18-mois-de-prison-avec-sursis-requis-contre-stephane-plaza/,"18 mois d'emprisonnement avec sursis et 10 000 euros d'amende requis contre l'animateur de 54 ans, accusé de violences sur deux anciennes compagnes.","Fri, 10 Jan 2025 06:27:00 +0000"
Los Angeles : Elon Musk partage la vidéo des incendies,https://vsd.fr/74627-los-angeles-elon-musk-partage-la-video-des-incendies/,"Le milliardaire américain a partagé une séquence qui témoigne des ravages des flammes. Actuellement, 5 personnes décédées sont à déplorer.","Thu, 09 Jan 2025 18:20:23 +0000"
"« J’ai le cœur brisé », Paris Hilton confrontée au pire, en direct à la télévision",https://vsd.fr/74618-jai-le-coeur-brise-paris-hilton-confrontee-au-pire-en-direct-a-la-television/,"Alors que des incendies ravagent actuellement la Californie, Paris Hilton s’est emparée de son compte Instagram, ce mercredi 8 janvier 2025, pour raconter la terrible épreuve qu’elle avait traversée.","Thu, 09 Jan 2025 17:26:00 +0000"
Les Enfoirés 2025 : qui sont les six nouvelles recrues ?,https://vsd.fr/74615-les-enfoires-2025-qui-sont-les-six-nouvelles-recrues/,"D’après les informations de nos confrères du « Parisien », six artistes rejoignent la troupe des Enfoirés, dont les concerts se tiendront à Montpellier, du 14 au 20 janvier 2025.","Thu, 09 Jan 2025 16:16:00 +0000"
Stéphane Plaza jugé pour des violences régulières sur deux anciennes compagnes,https://vsd.fr/74601-stephane-plaza-juge-pour-des-violences-regulieres-sur-deux-anciennes-compagnes/,L'animateur vedette de la chaîne M6 risque jusqu’à dix ans de prison et 150 000 euros d’amende pour les faits qui lui sont reprochés.,"Thu, 09 Jan 2025 16:03:00 +0000"
"« Juste pour vous rassurer… », Patrick Bruel donne des nouvelles de ses enfants, actuellement à Los Angeles",https://vsd.fr/74612-juste-pour-vous-rassurer-patrick-bruel-donne-des-nouvelles-de-ses-enfants-actuellement-a-los-angeles/,"Face aux incendies qui secouent actuellement la Californie, Patrick Bruel a donné des nouvelles de ses enfants qui vivent à Los Angeles. Sur Instagram, ce mercredi 8 janvier, il s’est montré rassurant à ce sujet.","Thu, 09 Jan 2025 15:16:36 +0000"
Un bijou caché dans le sud de la France : L'hôtel Le Clair de la Plume à Grignan,https://vsd.fr/74596-un-bijou-cache-dans-le-sud-de-la-france-lhotel-le-clair-de-la-plume-a-grignan/,"Envie de déconnexion et de moments inoubliables ? Direction le charmant village de Grignan, un lieu où histoire et art de vivre s'entrelacent.","Thu, 09 Jan 2025 13:39:00 +0000"
